scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa formula auth 0 20 16 2000 300 420556 453479 477710 596148 454210.212 15406.899
upspa prim TOPRF_client_eval 0 20 16 2000 300 514335 538342 572645 724367 544021.299 16920.039
upspa prim AEAD_DEC_cipherid 0 20 16 2000 300 1512 1530 1545 5248 1534.185 85.796
upspa prim AEAD_DEC_ciphersp 0 20 16 2000 300 1319 1468 1498 5988 1459.485 126.895
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 16 2000 300 1307 1327 1447 18352 1348.600 391.373
upspa prim HASH_suid 0 20 16 2000 300 81 84 99 103 85.142 4.361
upspa prim HASH_vinfo 0 20 16 2000 300 75 78 80 101 78.462 3.911
tspa proto reg 0 20 16 2000 300 597642 640694 685625 890406 641179.900 27798.174
tspa proto auth 0 20 16 2000 300 438541 468731 493214 645209 470065.153 15178.932
tspa prim HASH_storuid 0 20 16 2000 300 82 86 107 1107 91.051 45.722
tspa prim HASH_vinfo 0 20 16 2000 300 80 83 95 333 84.068 6.746
tspa prim OPRF_finalize 0 20 16 2000 300 3656 3772 3826 21044 3784.623 427.781
tspa prim OPRF_eval_full 0 20 16 2000 300 31256 32785 35365 56738 33211.944 2096.260
tspa prim MulP_point_scalar 0 20 16 2000 300 28126 28901 31234 50012 29221.247 1450.912
tspa prim InvS_scalar_invert 0 20 16 2000 300 10289 10352 11303 27820 10453.492 675.045
tspa prim FieldOp_mul_add 0 20 16 2000 300 108 113 125 1398 117.725 44.314
tspa prim AES256CTR_xor_32 0 20 16 2000 300 103 114 121 242 112.632 8.933
tspa prim PolyEval_degree_t_minus_1 0 20 16 2000 300 1543 1588 1603 18792 1606.057 421.181
upspa proto reg 0 20 20 2000 300 506101 541442 575582 968245 547489.027 35674.713
upspa proto auth 0 20 20 2000 300 505469 540789 562992 921907 543141.077 15765.085
upspa proto secupd 0 20 20 2000 300 534608 571351 598277 806613 572235.609 15605.646
upspa proto pwdupd 0 20 20 2000 300 920165 978662 1030768 1461330 984619.549 29574.771
upspa formula auth 0 20 20 2000 300 505158 540863 577084 1007794 547898.001 36631.038
upspa prim TOPRF_client_eval 0 20 20 2000 300 627438 656216 690219 845982 661416.658 16454.483
upspa prim AEAD_DEC_cipherid 0 20 20 2000 300 1415 1436 1482 5580 1449.923 109.958
upspa prim AEAD_DEC_ciphersp 0 20 20 2000 300 1314 1368 1457 2854 1374.761 68.692
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 20 2000 300 1307 1327 1451 26464 1361.260 582.434
upspa prim HASH_suid 0 20 20 2000 300 82 91 98 761 90.456 26.389
upspa prim HASH_vinfo 0 20 20 2000 300 75 77 80 101 78.161 3.757
tspa proto reg 0 20 20 2000 300 605573 633322 667739 831715 639523.523 15065.393
tspa proto auth 0 20 20 2000 300 540100 574055 608937 1027024 577756.498 26336.395
tspa prim HASH_storuid 0 20 20 2000 300 79 82 98 106 83.970 5.182
tspa prim HASH_vinfo 0 20 20 2000 300 78 81 83 105 81.165 2.453
tspa prim OPRF_finalize 0 20 20 2000 300 3663 3727 4056 29404 3809.708 620.675
tspa prim OPRF_eval_full 0 20 20 2000 300 31924 32737 34694 60443 32861.432 1605.206
tspa prim MulP_point_scalar 0 20 20 2000 300 27547 28895 30343 49807 29145.232 1516.358
tspa prim InvS_scalar_invert 0 20 20 2000 300 10302 10359 11330 28566 10497.427 697.688
tspa prim FieldOp_mul_add 0 20 20 2000 300 109 112 115 137 112.489 1.562
tspa prim AES256CTR_xor_32 0 20 20 2000 300 104 116 118 5070 118.370 113.167
tspa prim PolyEval_degree_t_minus_1 0 20 20 2000 300 1952 1976 1992 4782 1983.287 81.641
upspa proto reg 0 40 8 2000 300 249326 266609 276059 344659 266973.122 6537.896
upspa proto auth 0 40 8 2000 300 254252 271953 284385 407600 273092.833 9769.440
upspa proto secupd 0 40 8 2000 300 261058 279164 290544 352415 279356.710 7517.735
upspa proto pwdupd 0 40 8 2000 300 920335 967014 1012495 1143592 974344.747 21106.217
