scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa formula auth 0 20 16 2000 300 305972 340821 390811 950363 344935.752 37013.296
upspa prim TOPRF_client_eval 0 20 16 2000 300 291085 326187 376056 703623 332119.433 29417.261
upspa prim AEAD_DEC_cipherid 0 20 16 2000 300 1083 1182 1655 54113 1304.207 1507.038
upspa prim AEAD_DEC_ciphersp 0 20 16 2000 300 1015 1024 1054 9842 1032.919 200.485
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 16 2000 300 957 966 1073 6396 992.439 146.733
upspa prim HASH_suid 0 20 16 2000 300 71 74 75 100 73.731 1.691
upspa prim HASH_vinfo 0 20 16 2000 300 66 68 69 94 68.196 1.803
tspa proto reg 0 20 16 2000 300 383070 421270 485549 862307 428737.499 40366.821
tspa proto auth 0 20 16 2000 300 313132 340556 400628 1024553 348520.247 38912.575
tspa prim HASH_storuid 0 20 16 2000 300 83 86 88 117 86.154 1.862
tspa prim HASH_vinfo 0 20 16 2000 300 83 86 87 8936 93.029 231.421
tspa prim OPRF_finalize 0 20 16 2000 300 2923 3014 3110 52438 3116.083 1431.091
tspa prim OPRF_eval_full 0 20 16 2000 300 21423 23203 26939 134991 23877.808 3605.593
tspa prim MulP_point_scalar 0 20 16 2000 300 18535 18952 21579 106075 19736.003 3642.479
tspa prim InvS_scalar_invert 0 20 16 2000 300 6649 6695 7334 45419 7036.555 1441.783
tspa prim FieldOp_mul_add 0 20 16 2000 300 72 75 77 4736 77.709 104.221
tspa prim AES256CTR_xor_32 0 20 16 2000 300 79 81 83 98 81.454 1.595
tspa prim PolyEval_degree_t_minus_1 0 20 16 2000 300 959 1065 1083 13763 1069.109 414.175
upspa proto reg 0 20 20 2000 300 367613 397756 455316 1486594 405869.202 49793.906
upspa proto auth 0 20 20 2000 300 377290 408276 476773 827595 415989.834 38757.733
upspa proto secupd 0 20 20 2000 300 386826 424268 459564 1216585 428321.610 37270.975
upspa proto pwdupd 0 20 20 2000 300 611070 664821 723649 1970770 671428.674 51294.036
upspa formula auth 0 20 20 2000 300 368831 403284 434301 1137749 406575.768 26901.219
upspa prim TOPRF_client_eval 0 20 20 2000 300 354624 387938 406245 803397 388265.239 17111.702
upspa prim AEAD_DEC_cipherid 0 20 20 2000 300 1044 1075 1101 6522 1078.560 127.532
upspa prim AEAD_DEC_ciphersp 0 20 20 2000 300 980 990 1010 5767 1001.135 150.619
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 20 2000 300 958 983 990 6688 985.091 131.131
upspa prim HASH_suid 0 20 20 2000 300 72 74 75 107 74.056 1.717
upspa prim HASH_vinfo 0 20 20 2000 300 66 69 70 92 69.009 1.587
tspa proto reg 0 20 20 2000 300 387682 417560 439738 1213666 421288.649 37333.000
tspa proto auth 0 20 20 2000 300 385916 418677 473969 934568 428975.053 48221.827
tspa prim HASH_storuid 0 20 20 2000 300 67 69 71 97 69.676 1.516
tspa prim HASH_vinfo 0 20 20 2000 300 67 75 76 89 73.214 3.384
tspa prim OPRF_finalize 0 20 20 2000 300 2400 2649 2683 12242 2590.320 360.074
tspa prim OPRF_eval_full 0 20 20 2000 300 20303 21872 23700 51987 21934.055 1611.620
tspa prim MulP_point_scalar 0 20 20 2000 300 17899 18326 20534 296206 19408.181 10444.554
tspa prim InvS_scalar_invert 0 20 20 2000 300 6543 6676 7317 15034 6772.811 471.033
tspa prim FieldOp_mul_add 0 20 20 2000 300 72 75 76 92 74.706 1.025
tspa prim AES256CTR_xor_32 0 20 20 2000 300 78 81 83 4805 83.444 105.644
tspa prim PolyEval_degree_t_minus_1 0 20 20 2000 300 1194 1315 1331 6166 1275.734 139.257
upspa proto reg 0 40 8 2000 300 180869 196756 222286 666563 200850.895 26500.785
upspa proto auth 0 40 8 2000 300 187855 210304 243994 1203301 216334.275 37446.073
upspa proto secupd 0 40 8 2000 300 188259 208310 233893 417686 210851.430 13843.138
upspa proto pwdupd 0 40 8 2000 300 597503 662459 729633 969643 668679.649 35684.344
upspa formula auth 0 40 8 2000 300 184065 198479 220270 619490 202766.195 27512.671
upspa prim TOPRF_client_eval 0 40 8 2000 300 165814 178283 190941 722869 181307.062 27628.881
upspa prim AEAD_DEC_cipherid 0 40 8 2000 300 1009 1057 1070 8810 1063.691 192.220
upspa prim AEAD_DEC_ciphersp 0 40 8 2000 300 961 971 982 5833 979.764 147.618
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 8 2000 300 957 965 972 6166 971.098 160.746
upspa prim HASH_suid 0 40 8 2000 300 72 74 75 91 73.757 1.684
upspa prim HASH_vinfo 0 40 8 2000 300 66 69 70 92 68.835 1.978
tspa proto reg 0 40 8 2000 300 746536 804389 1002860 1625215 821594.686 78770.064
tspa proto auth 0 40 8 2000 300 167698 182029 226771 671978 190506.529 41924.524
tspa prim HASH_storuid 0 40 8 2000 300 71 74 78 632 75.085 15.341
tspa prim HASH_vinfo 0 40 8 2000 300 71 73 75 103 73.684 2.111
tspa prim OPRF_finalize 0 40 8 2000 300 2489 2559 2673 219945 2791.037 6168.894
tspa prim OPRF_eval_full 0 40 8 2000 300 20347 21941 23366 405284 22759.219 11261.696
tspa prim MulP_point_scalar 0 40 8 2000 300 18540 19379 20671 249302 20627.450 13625.397
tspa prim InvS_scalar_invert 0 40 8 2000 300 6643 6692 7319 268032 7209.801 8615.793
tspa prim FieldOp_mul_add 0 40 8 2000 300 72 75 76 104 75.166 1.028
tspa prim AES256CTR_xor_32 0 40 8 2000 300 79 81 83 4904 83.489 107.862
tspa prim PolyEval_degree_t_minus_1 0 40 8 2000 300 486 496 545 222552 619.361 4965.308
upspa proto reg 0 40 16 2000 300 306346 332848 469937 782281 347149.952 58978.262
upspa proto auth 0 40 16 2000 300 315657 342623 494603 821374 357965.492 63359.190
upspa proto secupd 0 40 16 2000 300 321233 348775 471436 1012914 362405.786 62098.285
upspa proto pwdupd 0 40 16 2000 300 751927 819089 1086947 1611315 850638.117 110160.374
upspa formula auth 0 40 16 2000 300 308790 331702 450241 886016 344129.849 59050.302
upspa prim TOPRF_client_eval 0 40 16 2000 300 291724 314370 377175 832641 324349.145 47846.068
upspa prim AEAD_DEC_cipherid 0 40 16 2000 300 1043 1071 1089 6718 1071.871 129.141
upspa prim AEAD_DEC_ciphersp 0 40 16 2000 300 980 992 1012 216713 1114.122 4826.873
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 16 2000 300 957 974 988 5716 980.091 127.626
upspa prim HASH_suid 0 40 16 2000 300 72 74 75 100 73.784 1.488
upspa prim HASH_vinfo 0 40 16 2000 300 66 68 70 93 68.502 1.631
tspa proto reg 0 40 16 2000 300 766151 828968 1058362 9807110 855440.186 222546.838
tspa proto auth 0 40 16 2000 300 313172 337015 379631 846934 343042.231 41740.191
tspa prim HASH_storuid 0 40 16 2000 300 72 74 75 116 73.799 1.727
tspa prim HASH_vinfo 0 40 16 2000 300 71 73 75 292 73.181 5.241
tspa prim OPRF_finalize 0 40 16 2000 300 2444 2518 2556 256555 2664.204 5689.330
tspa prim OPRF_eval_full 0 40 16 2000 300 21390 21876 22358 259305 22397.149 9033.574
tspa prim MulP_point_scalar 0 40 16 2000 300 18876 19298 19778 246726 19807.510 8801.195
tspa prim InvS_scalar_invert 0 40 16 2000 300 6528 6562 6906 230497 6879.492 5323.330
tspa prim FieldOp_mul_add 0 40 16 2000 300 72 75 77 92 75.266 1.013
tspa prim AES256CTR_xor_32 0 40 16 2000 300 78 81 83 102936 134.654 2301.725
tspa prim PolyEval_degree_t_minus_1 0 40 16 2000 300 960 973 980 6067 981.129 169.536
upspa proto reg 0 40 24 2000 300 432208 465732 582220 1057394 477053.822 63143.665
upspa proto auth 0 40 24 2000 300 445106 480559 502483 1435692 485499.246 46450.598
upspa proto secupd 0 40 24 2000 300 455087 491025 519512 1091584 495259.861 41737.627
upspa proto pwdupd 0 40 24 2000 300 915058 985145 1060179 2504564 996765.631 89604.918
upspa formula auth 0 40 24 2000 300 434373 468404 491666 1522966 473328.633 56531.792
upspa prim TOPRF_client_eval 0 40 24 2000 300 416843 449594 465532 1007281 452433.286 28233.792
upspa prim AEAD_DEC_cipherid 0 40 24 2000 300 1046 1073 1090 6900 1082.366 197.969
upspa prim AEAD_DEC_ciphersp 0 40 24 2000 300 979 999 1011 6437 1000.636 124.517
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 24 2000 300 957 966 985 5877 975.841 147.158
upspa prim HASH_suid 0 40 24 2000 300 72 74 75 101 73.892 1.645
upspa prim HASH_vinfo 0 40 24 2000 300 66 68 69 103 68.121 1.861
tspa proto reg 0 40 24 2000 300 784582 845257 891158 1564279 848452.922 47805.982
tspa proto auth 0 40 24 2000 300 458554 493648 515884 1166063 496472.300 39889.846
tspa prim HASH_storuid 0 40 24 2000 300 70 72 73 96 71.960 1.456
tspa prim HASH_vinfo 0 40 24 2000 300 68 71 73 162643 167.992 3645.315
tspa prim OPRF_finalize 0 40 24 2000 300 2360 2434 2478 13590 2457.365 365.560
tspa prim OPRF_eval_full 0 40 24 2000 300 21043 21808 22325 70577 21892.701 1592.801
tspa prim MulP_point_scalar 0 40 24 2000 300 18880 19294 19671 172749 19466.680 3686.809
tspa prim InvS_scalar_invert 0 40 24 2000 300 6645 6680 6925 14584 6776.690 392.508
tspa prim FieldOp_mul_add 0 40 24 2000 300 72 75 77 95 75.055 1.141
tspa prim AES256CTR_xor_32 0 40 24 2000 300 78 81 82 100 81.102 1.685
tspa prim PolyEval_degree_t_minus_1 0 40 24 2000 300 1433 1449 1458 5114 1452.497 98.153
upspa proto reg 0 40 32 2000 300 557371 600318 690512 1847867 609105.294 69772.228
upspa proto auth 0 40 32 2000 300 574382 619562 651699 1751454 622649.907 52524.177
upspa proto secupd 0 40 32 2000 300 590283 634191 726077 3173963 643420.264 86532.051
upspa proto pwdupd 0 40 32 2000 300 1076701 1166803 1369570 3059402 1186815.358 107947.968
upspa formula auth 0 40 32 2000 300 561282 605318 825973 1633442 626247.777 86005.339
upspa prim TOPRF_client_eval 0 40 32 2000 300 543211 585094 727331 2300569 600208.860 79096.606
upspa prim AEAD_DEC_cipherid 0 40 32 2000 300 1008 1021 1126 298581 1472.189 11032.291
upspa prim AEAD_DEC_ciphersp 0 40 32 2000 300 963 974 1112 305867 1586.300 12588.219
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 32 2000 300 941 966 1066 2503198 2263.954 55950.876
upspa prim HASH_suid 0 40 32 2000 300 70 73 78 158 73.760 5.065
upspa prim HASH_vinfo 0 40 32 2000 300 64 67 68 107 66.911 1.724
tspa proto reg 0 40 32 2000 300 804878 878084 1063908 1732284 898115.480 87091.329
tspa proto auth 0 40 32 2000 300 604541 662744 777509 1560496 675773.010 67759.787
tspa prim HASH_storuid 0 40 32 2000 300 71 73 75 4058 75.390 89.163
tspa prim HASH_vinfo 0 40 32 2000 300 70 72 74 103 72.786 1.945
tspa prim OPRF_finalize 0 40 32 2000 300 2485 2519 2538 217911 2643.449 4821.877
tspa prim OPRF_eval_full 0 40 32 2000 300 21395 21872 23081 250461 22876.914 12703.605
tspa prim MulP_point_scalar 0 40 32 2000 300 18858 19310 19928 233966 20160.147 11756.599
tspa prim InvS_scalar_invert 0 40 32 2000 300 6647 6681 6922 223432 7008.555 6660.081
tspa prim FieldOp_mul_add 0 40 32 2000 300 72 75 77 92 75.162 1.050
tspa prim AES256CTR_xor_32 0 40 32 2000 300 78 81 82 103 80.975 1.848
tspa prim PolyEval_degree_t_minus_1 0 40 32 2000 300 1908 1926 2002 210245 2131.211 5930.112
upspa proto reg 0 40 40 2000 300 683164 736200 952020 1683963 756885.770 90069.272
upspa proto auth 0 40 40 2000 300 703923 762617 997525 2126688 787311.791 104125.283
upspa proto secupd 0 40 40 2000 300 722263 782800 884815 1429118 790467.434 60075.424
upspa proto pwdupd 0 40 40 2000 300 1234934 1340470 1503473 2864702 1359762.173 91053.607
upspa formula auth 0 40 40 2000 300 688835 741658 778690 2093615 744416.482 56441.145
upspa prim TOPRF_client_eval 0 40 40 2000 300 669064 725198 753340 1491109 725779.986 32791.913
upspa prim AEAD_DEC_cipherid 0 40 40 2000 300 1011 1056 1070 9086 1061.472 210.866
upspa prim AEAD_DEC_ciphersp 0 40 40 2000 300 962 971 977 8774 979.920 202.982
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 40 2000 300 958 965 971 5656 968.601 108.180
upspa prim HASH_suid 0 40 40 2000 300 72 74 75 97 73.957 1.468
upspa prim HASH_vinfo 0 40 40 2000 300 66 69 70 92 68.684 1.422
tspa proto reg 0 40 40 2000 300 822517 887856 920297 3286587 890158.102 86464.826
tspa proto auth 0 40 40 2000 300 750433 808318 835538 1897018 810189.246 44611.556
tspa prim HASH_storuid 0 40 40 2000 300 72 74 76 100 74.585 1.517
tspa prim HASH_vinfo 0 40 40 2000 300 72 75 76 100 74.720 1.756
tspa prim OPRF_finalize 0 40 40 2000 300 2497 2567 2660 7798 2585.649 249.317
tspa prim OPRF_eval_full 0 40 40 2000 300 21340 21561 22483 66754 21844.351 1357.441
tspa prim MulP_point_scalar 0 40 40 2000 300 18853 19290 20046 29242 19404.854 871.309
