scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa formula auth 0 20 16 2000 300 419911 448179 459483 528101 445635.475 7719.937
upspa prim TOPRF_client_eval 0 20 16 2000 300 407613 435159 446826 801505 434341.110 22733.355
upspa prim AEAD_DEC_cipherid 0 20 16 2000 300 1411 1457 1502 2818 1457.230 57.060
upspa prim AEAD_DEC_ciphersp 0 20 16 2000 300 1312 1361 1395 2703 1360.901 36.391
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 16 2000 300 1304 1323 1337 1369 1322.976 7.436
upspa prim HASH_suid 0 20 16 2000 300 81 84 87 127 84.374 3.504
upspa prim HASH_vinfo 0 20 16 2000 300 74 77 79 100 77.479 3.268
tspa proto reg 0 20 16 2000 300 540794 577609 594824 1121122 579761.188 41168.074
tspa proto auth 0 20 16 2000 300 464149 492255 507614 718071 492258.367 10516.454
tspa prim HASH_storuid 0 20 16 2000 300 79 82 83 105 82.201 3.940
tspa prim HASH_vinfo 0 20 16 2000 300 78 82 85 1283 83.326 26.982
tspa prim OPRF_finalize 0 20 16 2000 300 3673 3729 3867 5200 3754.240 79.810
tspa prim OPRF_eval_full 0 20 16 2000 300 26244 26955 27635 35459 26874.489 536.318
tspa prim MulP_point_scalar 0 20 16 2000 300 22399 22991 23392 35327 23011.965 463.597
tspa prim InvS_scalar_invert 0 20 16 2000 300 10193 10276 10495 12669 10322.648 228.537
tspa prim FieldOp_mul_add 0 20 16 2000 300 108 112 114 134 112.347 1.428
tspa prim AES256CTR_xor_32 0 20 16 2000 300 100 103 105 116 103.437 1.492
tspa prim PolyEval_degree_t_minus_1 0 20 16 2000 300 1545 1573 1602 3112 1583.161 62.058
upspa proto reg 0 20 20 2000 300 504960 539628 558989 620124 539512.522 13701.652
upspa proto auth 0 20 20 2000 300 506712 541392 554130 711135 538358.039 9564.696
upspa proto secupd 0 20 20 2000 300 535312 571607 590953 1027097 575386.886 46944.917
upspa proto pwdupd 0 20 20 2000 300 904768 964119 1121989 1697356 987959.019 94388.556
upspa formula auth 0 20 20 2000 300 504624 539498 582269 979394 552314.346 61184.216
upspa prim TOPRF_client_eval 0 20 20 2000 300 494427 528402 547803 881569 530509.840 20695.659
upspa prim AEAD_DEC_cipherid 0 20 20 2000 300 1411 1461 1484 3583 1462.746 73.619
upspa prim AEAD_DEC_ciphersp 0 20 20 2000 300 1342 1380 1486 3321 1404.799 114.387
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 20 2000 300 1304 1324 1358 2891 1331.088 59.806
upspa prim HASH_suid 0 20 20 2000 300 82 84 86 107 84.918 3.258
upspa prim HASH_vinfo 0 20 20 2000 300 74 78 80 102 78.491 3.624
tspa proto reg 0 20 20 2000 300 548338 586182 606189 1009397 593147.201 45807.047
tspa proto auth 0 20 20 2000 300 571909 611084 640325 1171297 616121.454 42495.449
tspa prim HASH_storuid 0 20 20 2000 300 81 84 86 111 84.296 3.213
tspa prim HASH_vinfo 0 20 20 2000 300 81 84 86 107 84.234 3.783
tspa prim OPRF_finalize 0 20 20 2000 300 3669 3773 4079 7742 3823.941 230.823
tspa prim OPRF_eval_full 0 20 20 2000 300 25740 26952 27101 34632 26801.088 564.664
tspa prim MulP_point_scalar 0 20 20 2000 300 22441 22995 23062 30563 23008.825 268.575
tspa prim InvS_scalar_invert 0 20 20 2000 300 10208 10268 10504 11914 10299.665 133.164
tspa prim FieldOp_mul_add 0 20 20 2000 300 108 113 115 133 112.546 1.628
tspa prim AES256CTR_xor_32 0 20 20 2000 300 102 113 114 115 113.296 1.389
tspa prim PolyEval_degree_t_minus_1 0 20 20 2000 300 1937 1972 1988 3013 1970.355 26.518
upspa proto reg 0 40 8 2000 300 248852 266220 280707 439086 267919.349 11914.869
upspa proto auth 0 40 8 2000 300 255243 272527 292949 470097 278106.666 29553.124
upspa proto secupd 0 40 8 2000 300 261457 279252 289413 469792 280808.363 19714.600
upspa proto pwdupd 0 40 8 2000 300 917287 962687 1167746 1661175 989556.400 83239.458
upspa formula auth 0 40 8 2000 300 254287 271394 277959 315419 269922.878 4565.490
upspa prim TOPRF_client_eval 0 40 8 2000 300 233797 249937 261689 437906 254136.840 24827.543
upspa prim AEAD_DEC_cipherid 0 40 8 2000 300 1445 1530 1923 6913 1627.240 222.973
upspa prim AEAD_DEC_ciphersp 0 40 8 2000 300 1319 1378 1476 2853 1389.203 61.760
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 8 2000 300 1305 1323 1336 1360 1323.192 7.413
upspa prim HASH_suid 0 40 8 2000 300 82 85 87 117 85.683 3.161
upspa prim HASH_vinfo 0 40 8 2000 300 75 77 79 95 77.799 2.830
